"name" "mass" "n.mob.cor" "mob.rabund" "mob.p.mass"
"1" 264 0.25 767.690661187257 0.00102025471617683 3070.76264474903
"2" 264 0.25 824.150363498088 0.00176153200422795 3296.60145399235
"3" 264 0.25 385.521898076332 0.000776995582313183 1542.08759230533
"4" 265 0.23 11233.4541555004 3.51925255498132 48841.1050239146
"5" 265 0.23 8352.06125872577 0.00132320362147113 36313.3098205468
"6" 265 0.23 5571.05252304763 0.00083199709125562 24221.9674915114
"7" 266 0.25 NA NA NA
"8" 266 0.25 NA NA NA
"9" 266 0.25 NA NA NA
"10" 267 0.25 11340.9141134741 0.00846336874139858 45363.6564538964
"11" 267 0.25 10259.7598445756 0.0077725453367997 41039.0393783024
"12" 267 0.25 10389.0551911222 0.00998947614530981 41556.2207644888
"13" 268 0.19 5521.60824987742 0.00132651249246304 29061.0960519864
"14" 268 0.19 NA NA NA
"15" 268 0.19 NA NA NA
"16" 269 0.25 8765.98564021488 0.00901850374507704 35063.9425608595
"17" 269 0.25 6121.90826032486 0.00867989379281151 24487.6330412994
"18" 269 0.25 NA NA NA
"19" 270 0.245 4291.93730816015 0.00133058572301592 17518.1114618782
"20" 270 0.245 4456.25407694692 0.00217420671201548 18188.7921508038
"21" 270 0.245 4474.89549361131 0.00247779373954114 18264.8795657604
"22" 271 0.235 NA NA NA
"23" 271 0.235 NA NA NA
"24" 271 0.235 NA NA NA
"25" 272 0.25 4514.29433161326 0.00783187774395084 18057.1773264531
"26" 272 0.25 NA NA NA
"27" 272 0.25 3982.91729781137 0.00569313507405856 15931.6691912455
"28" 273 0.25 49251.8648585481 0.0160953806727281 197007.459434192
"29" 273 0.25 50712.3047356689 0.0269585009647786 202849.218942675
"30" 273 0.25 43093.145002155 0.0269567151427726 172372.58000862
"31" 274 0.24 28020.1293409711 0.0163287467021976 116750.538920713
"32" 274 0.24 25454.9484632986 0.016969965642199 106062.285263744
"33" 274 0.24 21095.4768955384 0.016128040440014 87897.8203980765
"34" 275 0.24 192.372565517123 0.000870464097362548 801.552356321346
"35" 275 0.24 NA NA NA
"36" 275 0.24 611.407909133005 0.00421660626988279 2547.53295472085
"37" 276 0.23 NA NA NA
"38" 276 0.23 NA NA NA
"39" 276 0.23 NA NA NA
"40" 277 0.25 85949.7919470819 0.0103804096554447 343799.167788328
"41" 277 0.25 63108.2773094532 0.0111302076383515 252433.109237813
"42" 277 0.25 52082.3411689944 0.00890296430239221 208329.364675978
"43" 278 0.245 9075.32385679557 0.00481807382501357 37042.1381910023
"44" 278 0.245 8313.61912119052 0.00545799574657991 33933.1392701654
"45" 278 0.245 8850.83848114419 0.00834355060439686 36125.8713516089
"46" 279 0.25 3338.57799052324 0.00774252780733591 13354.311962093
"47" 279 0.25 3007.72209979923 0.00529155893701483 12030.8883991969
"48" 279 0.25 3752.53026289092 0.00752915381799944 15010.1210515637
"49" 281 0.24 9218.01373372111 0.0158276334713618 38408.3905571713
"50" 281 0.24 8694.7282355583 0.0119433080158768 36228.0343148263
"51" 281 0.24 8841.13095096265 0.0147844999179977 36838.045629011
